time,open,high,low,close,Entry,Stop,Target,MA fast,MA slow,Exh Top,Exh Bot,EMA 9,EMA 21,EMA 50,EMA 200,VWAP,VWAP +1σ,VWAP -1σ,Volume
1776726300,26807.5,26808.75,26807,26807.25,,,,26809.2625,26805.325,0,0,26808.578756971463,26808.185155259813,26803.950897036957,26771.136220402794,26694.50777635066,26738.619883001462,26650.395669699858,
1776726360,26808,26808.75,26807.25,26807.75,,,,26809.3,26805.385,0,0,26808.41300557717,26808.145595690738,26804.099881466882,26771.500536617692,26694.51337844957,26738.631596096304,26650.395160802836,
1776726420,26807.25,26808.5,26806,26806.25,,,,26809.2375,26805.47,0,0,26807.980404461738,26807.97326880976,26804.18419984073,26771.84630242249,26694.523292619382,26738.65219174177,26650.394393496994,25
1776726480,26807.25,26809.25,26807.25,26808.75,,,,26809.35,26805.605,0,0,26808.13432356939,26808.043880736146,26804.363250827366,26772.21350339341,26694.530926762145,26738.668197050654,26650.393656473636,19
1776726540,26807,26807,26803,26805.5,,,,26809.3125,26805.695,0,0,26807.607458855513,26807.812618851043,26804.407829226293,26772.54471231487,26694.560581960188,26738.72908316409,26650.392080756286,76
1776726600,26807,26810.25,26807,26808.75,,,,26809.175,26805.815,0,0,26807.83596708441,26807.89783531913,26804.578110433104,26772.904963933626,26694.573860918026,26738.756940299092,26650.39078153696,33
1776726660,26808.75,26810.75,26808.75,26810,,,,26809.05,26805.885,0,0,26808.26877366753,26808.08894119921,26804.790733553375,26773.274068770108,26694.58402152372,26738.77840370792,26650.38963933952,25
1776726720,26809.75,26811.75,26806,26806,,,,26808.6875,26805.905,0,0,26807.815018934023,26807.899037453826,26804.838155766967,26773.599699926624,26694.5992054258,26738.810090316783,26650.388320534814,38
1776726780,26807,26809,26807,26809,,,,26808.5625,26806.01,0,0,26808.05201514722,26807.999124958023,26805.001365344735,26773.9519417184,26694.60121034984,26738.814284332027,26650.388136367652,5
1776726840,26808.5,26810,26807.75,26809,,,,26808.425,26806.095,0,0,26808.241612117774,26808.090113598202,26805.1581745469,26774.300678616724,26694.60846450793,26738.82951237468,26650.387416641184,18
1776726900,26809.25,26810.25,26808,26809.5,,,,26808.5,26806.2,0,0,26808.49328969422,26808.218285089275,26805.32844221173,26774.650920620537,26694.619375744664,26738.852459715577,26650.38629177375,27
1776726960,26810.5,26810.75,26806,26806,,,,26808.4,26806.225,0,0,26807.994631755377,26808.01662280843,26805.35477781127,26774.962851758643,26694.630524420467,26738.875658546982,26650.38539029395,28
1776727020,26806,26806.5,26804.75,26806,,,,26808.1625,26806.34,0,0,26807.595705404303,26807.83329346221,26805.3800806422,26775.271679104328,26694.64109838805,26738.89740269199,26650.384794084108,27
