time,open,high,low,close,Entry,Stop,Target,MA fast,MA slow,Exh Top,Exh Bot,EMA 9,EMA 21,EMA 50,EMA 200,VWAP,VWAP +1σ,VWAP -1σ,Volume
1767070800,25749.5,25755,25721,25744.5,,,,25728.0375,25809.41,0,0,25732.178589027193,25744.991222283097,25772.461051833387,25653.03464770953,25716.520475711306,25740.316454418404,25692.72449700421,2238
1767074400,25744.5,25744.5,25715.25,25726.5,,,,25726.2375,25806.01,0,0,25731.042871221754,25743.310202075543,25770.658657643842,25653.765646239783,25716.633862789145,25740.348254913897,25692.919470664394,1581
1767078000,25725.75,25726.5,25684.75,25703.75,,,,25724.125,25802.435,0,0,25725.584296977402,25739.713820068675,25768.03478871663,25654.263002993615,25716.468282528735,25740.053601832453,25692.882963225016,2462
1767081600,25704.25,25741.25,25703,25738.75,,,,25722.55,25799.635,0,0,25728.217437581923,25739.62620006243,25766.886365629704,25655.103669630495,25716.641578259412,25740.084479411154,25693.19867710767,2719
1767085200,25739.5,25752.25,25729.25,25739,,,,25722.175,25796.89,0,0,25730.37395006554,25739.56927278403,25765.792782663833,25655.938458987406,25716.949594082755,25740.391549680866,25693.507638484643,2331
1767088800,25738.75,25745.75,25718.75,25727.25,,,,25723.8875,25794,0,0,25729.74916005243,25738.44933889457,25764.28130099074,25656.64802655967,25717.116835142002,25740.462853413188,25693.770816870816,2211
1767092400,25728.5,25736,25702.5,25732.5,,,,25724.2875,25791.445,0,0,25730.299328041943,25737.908489904155,25763.03497546169,25657.40277256405,25717.228352948026,25740.390277137536,25694.066428758517,3122
1767096000,25732.5,25743.5,25712.25,25726.5,,,,25725.475,25788.825,0,0,25729.539462433553,25736.871354458322,25761.60223132594,25658.090307165403,25717.39391748706,25740.402963444456,25694.384871529666,3029
1767099600,25726.25,25744.75,25691.25,25713.75,,,,25726.3875,25785.58,0,0,25726.381569946843,25734.76941314393,25759.725673234723,25658.6441349548,25717.365042942885,25739.96105937934,25694.76902650643,6885
1767103200,25714.25,25774.75,25674.25,25756.75,,,,25729.225,25783.07,0,0,25732.455255957473,25736.767648312663,25759.608980166693,25659.620312716444,25721.34653540014,25742.613241913587,25700.07982888669,55349
1767106800,25756,25761.5,25681.5,25744,,,,25731.7,25780.42,0,0,25734.76420476598,25737.425134829693,25758.996863297412,25660.459911594888,25722.68621675338,25742.219888044947,25703.152545461813,52755
1767110400,25744.5,25793.75,25717,25720,,,,25729.425,25777.02,0,0,25731.811363812783,25735.841031663356,25757.46757454065,25661.052350285485,25743.583333333332,25743.583333333332,25743.583333333332,38619
1767114000,25719.75,25739,25699.5,25728.75,,,,25728.8125,25773.665,0,0,25731.199091050228,25735.196392421232,25756.341395146897,25661.725958740357,25735.171558378064,25745.52970873032,25724.81340802581,25469
1767117600,25728.75,25744.25,25707.5,25732.5,,,,25728.2125,25770.695,0,0,25731.459272840184,25734.951265837484,25755.40643847447,25662.430178056373,25733.512640930643,25743.061869346246,25723.96341251504,19582
1767121200,25732.5,25743,25705.5,25712,,,,25728.45,25766.945,0,0,25727.56741827215,25732.864787124985,25753.704225200963,25662.923410115513,25730.76435919824,25740.84083110407,25720.687887292414,21698
1767124800,25711.5,25717.75,25668.25,25678,,,,25727.125,25763.03,0,0,25717.65393461772,25727.877079204532,25750.735432055826,25663.073425935258,25720.420495589486,25740.726383088215,25700.114608090757,33618
1767128400,25678.25,25691.75,25669.75,25676,,,,25724.725,25759.115,0,0,25709.323147694176,25723.16098109503,25747.804630798735,25663.20204856277,25718.02606799955,25739.96787643462,25696.084259564483,8564
1767135600,25683.25,25689.5,25643.75,25657,,,,25722.0625,25754.42,0,0,25698.858518155343,25717.146346450027,25744.24366488506,25663.14033663677,25716.72647213199,25739.94859022945,25693.504354034532,3597
1767139200,25656.75,25657,25604.75,25614.25,,,,25716.05,25748.88,0,0,25681.936814524273,25707.792133136387,25739.145874105252,25662.65386562546,25713.907740060833,25741.69806775676,25686.117412364907,4810
1767142800,25614,25624.5,25588,25618,,,,25709.4875,25743.905,0,0,25669.149451619418,25699.62921194217,25734.39505551289,25662.209548554558,25710.869047322663,25743.3603431215,25678.377751523825,4706
1767146400,25617.5,25635.75,25605,25626.25,,,,25703.575,25739.31,0,0,25660.569561295535,25692.958374492882,25730.15407294376,25661.85174210128,25708.99939123089,25743.574332658274,25674.424449803504,3466
1767150000,25626.25,25633.5,25606.75,25615.75,,,,25698.0375,25734.215,0,0,25651.605649036428,25685.939431357165,25725.66763871067,25661.393018299277,25708.19751981192,25743.646175165963,25672.74886445788,1470
1767153600,25616.75,25633.75,25614,25616.25,,,,25693.6625,25728.715,0,0,25644.534519229142,25679.604028506514,25721.376750918094,25660.943834037593,25707.388410127867,25743.644862022047,25671.131958233687,1557
