time,open,high,low,close,Entry,Stop,Target,MA fast,MA slow,Exh Top,Exh Bot,EMA 9,EMA 21,EMA 50,EMA 200,VWAP,VWAP +1σ,VWAP -1σ,Volume
1774912500,23045,23069,23035.25,23056,,,,23115.8375,23277.225,0,0,23089.89416926317,23135.324412950198,23222.79159616009,23497.957887296005,23228.286645144723,23338.858777928992,23117.714512360453,1573
1774913400,23057,23059.75,23034.25,23041,,,,23106.4875,23270.05,0,0,23080.115335410537,23126.74946631836,23215.662513957734,23493.411042646294,23227.437472007437,23338.453115826967,23116.421828187908,1462
1774914300,23042,23047,23023.25,23046,,,,23098.25,23262.86,0,0,23073.29226832843,23119.408605743964,23209.00908203782,23488.959191475686,23226.36609350416,23337.970313597463,23114.761873410855,1802
1774915200,23045.5,23083.25,23008.75,23021,,,,23089.65,23255.525,0,0,23062.833814662743,23110.46236885815,23201.636176859865,23484.302881112744,23223.807089387938,23336.780199506466,23110.83397926941,4363
1774916100,23023,23027.75,22961.5,23011.75,,,,23082.4875,23247.55,0,0,23052.617051730194,23101.48851714377,23194.189660120264,23479.600862395204,23220.65489374699,23335.8824669224,23105.427320571576,4603
1774917000,23011.75,23161,22992,23159.75,,,,23082.65,23242.135,0,0,23074.043641384156,23106.785015585247,23192.83908521359,23476.41826674948,23218.431982640028,23333.660711587858,23103.203253692198,6353
1774917900,23158,23283.75,23152,23202.25,,,,23086.725,23236.46,0,0,23099.684913107325,23115.46365053204,23193.20814069541,23473.69022429426,23218.23593390671,23331.493370401717,23104.978497411706,11711
1774918800,23203,23241.25,23160.25,23188.5,,,,23093.85,23230.905,0,0,23117.44793048586,23122.103318665493,23193.02350772696,23470.85251061969,23217.923128302715,23330.38587998284,23105.46037662259,5068
1774919700,23193.25,23328.25,23186,23315.75,,,,23107.8,23228.065,0,0,23157.10834438869,23139.707562423177,23197.836311345513,23469.30920205631,23219.14109797801,23330.74619653927,23107.53599941675,7399
1774920600,23314.75,23397.25,23313,23364,,,,23122.0125,23226.03,0,0,23198.48667551095,23160.09778402107,23204.352534430003,23468.26134929953,23221.949537734876,23334.138015453464,23109.761060016288,7362
1774921500,23362.75,23374.25,23336.75,23339.25,,,,23132.2,23222.795,0,0,23226.63934040876,23176.384349110063,23209.642631119023,23466.977654281625,23223.07448806676,23335.407173363317,23110.7418027702,3226
1774922400,23340,23346.5,23322.75,23335,,,,23144.25,23219.355,0,0,23248.31147232701,23190.80395373642,23214.558606369257,23465.664443791262,23223.776365417154,23336.102739566242,23111.449991268066,2324
1774923300,23336,23364.25,23332.5,23349.5,,,,23156.75,23216.225,0,0,23268.549177861605,23205.230867033108,23219.850425727327,23464.50857867891,23224.558250402897,23336.96545506634,23112.151045739454,2328
1774924200,23346.75,23357,23325.25,23351.25,,,,23169.05,23213.19,0,0,23285.089342289284,23218.50533366646,23225.003350208608,23463.38162764728,23225.27182700819,23337.723086126593,23112.820567889787,2227
1774925100,23350.25,23405,23344,23345.5,,,,23181.0125,23209.905,0,0,23297.171473831426,23230.050303333144,23229.728709023955,23462.2086761284,23226.516701085977,23339.23173042141,23113.801671750545,3369
1774926000,23346.25,23397.5,23340.75,23380.25,,,,23194.125,23209.64,0,0,23313.78717906514,23243.704821211948,23235.631504748508,23461.393166913193,23227.41723788749,23340.366061451314,23114.468414323666,2339
1774926900,23380.75,23383.25,23348,23351,,,,23205.5125,23210.62,0,0,23321.22974325211,23253.458928374497,23240.15575946425,23460.29472744142,23227.88223346549,23340.907577261773,23114.85688966921,1330
1774927800,23352.5,23360.75,23330.25,23330.5,,,,23216.7375,23209.89,0,0,23323.08379460169,23260.462662158632,23243.698670857808,23459.00323761613,23228.309386450237,23341.332379928834,23115.28639297164,1452
1774928700,23332.5,23343.5,23310,23318.25,,,,23227.6375,23209.75,0,0,23322.117035681353,23265.71605650785,23246.622252392797,23457.602707888604,23228.692208591885,23341.650173276787,23115.734243906983,1539
1774929600,23319.5,23332.5,23313.25,23326,,,,23241.625,23210.785,0,0,23322.893628545084,23271.196415007136,23249.73510524014,23456.29322820812,23229.003355246383,23341.907482602383,23116.099227890383,1260
1774930500,23325.25,23342,23295.25,23302.5,,,,23253.95,23209.285,0,0,23318.814902836068,23274.042195461032,23251.80431679935,23454.762947330426,23229.339549755485,23342.14328500697,23116.535814504,1545
1774931400,23300.25,23321,23294.75,23308,,,,23267.3,23209.105,0,0,23316.651922268855,23277.129268600936,23254.008069081727,23453.30261949629,23229.58234649123,23342.296071459463,23116.868621522994,1200
1774932300,23310.25,23313.75,23277.75,23283.75,,,,23279.1875,23208.18,0,0,23310.071537815085,23277.73115327358,23255.174419313815,23451.615528755035,23229.831703314834,23342.38775947869,23117.27564715098,1564
1774933200,23283,23286.25,23247.25,23248.25,,,,23290.55,23205.1,0,0,23297.70723025207,23275.051048430527,23254.90287345837,23449.59199115548,23229.98511657935,23342.280965595724,23117.68926756298,1955
1774934100,23249.75,23303.75,23235,23288.75,,,,23304.4,23203.375,0,0,23295.915784201654,23276.296407664115,23256.23021175412,23447.991573333038,23230.193702847562,23342.276291760696,23118.11111393443,1791
1774935000,23289.25,23317.25,23279.5,23309,,,,23311.8625,23202.86,0,0,23298.532627361325,23279.26946151283,23258.299615214743,23446.608572603356,23230.461792489037,23342.42029502514,23118.503289952936,1477
1774935900,23306.75,23338.5,23300.25,23310.5,,,,23317.275,23203.57,0,0,23300.92610188906,23282.1086013753,23260.34668912789,23445.254258448098,23230.836903901018,23342.694429998046,23118.97937780399,1732
1774936800,23311.25,23313.25,23266.5,23275.75,,,,23321.6375,23203.06,0,0,23295.890881511248,23281.53054670482,23260.95074053464,23443.5676489113,23231.067949949902,23342.74335322546,23119.392546674342,1695
1774937700,23275.75,23319,23270.5,23288.75,,,,23320.2875,23203.075,0,0,23294.462705209,23282.186860640744,23262.0409075725,23442.02717479278,23231.343266035732,23342.84499802474,23119.841534046725,1787
1774938600,23290,23302.75,23265.25,23272.5,,,,23315.7125,23203.56,0,0,23290.0701641672,23281.30623694613,23262.451068059854,23440.340337232654,23231.523569203713,23342.85861955005,23120.188518857376,1484
1774939500,23272,23308,23266,23292,,,,23313.35,23205.46,0,0,23290.456131333758,23282.278397223756,23263.609849704564,23438.864313976606,23231.68748299218,23342.904733876258,23120.470232108102,1156
1774940400,23292.25,23309.5,23249.5,23265.5,,,,23309.875,23206.21,0,0,23285.464905067005,23280.753088385234,23263.683973245563,23437.13929592709,23231.94227440726,23342.879915625115,23121.00463318941,2394
1774941300,23266,23281.25,23238.25,23274.5,,,,23306.125,23207.485,0,0,23283.271924053603,23280.18462580476,23264.1081311575,23435.52099447508,23232.121619577276,23342.781223626218,23121.462015528334,2234
1774942200,23274.75,23340.5,23274.75,23338.25,,,,23305.475,23210.39,0,0,23294.267539242883,23285.463296186146,23267.015655425832,23434.55312388329,23232.777852298343,23343.26590068716,23122.289803909523,3145
1774943100,23339,23371.5,23331.5,23369.75,,,,23306.6875,23214.685,0,0,23309.364031394307,23293.125723805588,23271.04445325227,23433.90831668047,23233.85885342884,23344.47358611064,23123.24412074704,3589
1774944000,23369.5,23390.25,23340,23344,,,,23304.875,23218.435,0,0,23316.291225115445,23297.75065800508,23273.905455085514,23433.01370656425,23234.897877588402,23345.628505635912,23124.167249540893,3495
1774944900,23345.25,23363,23322.5,23327.5,,,,23303.7,23222.57,0,0,23318.532980092357,23300.455143640982,23276.007201944907,23431.963818936743,23235.431248283887,23346.12074770138,23124.741748866392,2180
1774945800,23328.25,23336.75,23310,23314.75,,,,23302.9125,23227.945,0,0,23317.776384073884,23301.754676037257,23277.526527358834,23430.797512280657,23235.85443780628,23346.43036573444,23125.27850987812,2100
1774946700,23316.75,23338,23293.25,23313.25,,,,23302.6625,23233.475,0,0,23316.871107259107,23302.799705488414,23278.927447854567,23429.62788529279,23236.377614700923,23346.772754846792,23125.982474555054,2815
1774947600,23311.75,23351.75,23309.75,23333.75,,,,23303.05,23238.555,0,0,23320.246885807286,23305.613368625833,23281.07735186027,23428.673876483906,23236.73179231814,23347.074358789272,23126.389225847008,1584
1774948500,23332.75,23351,23317.75,23324,,,,23304.125,23242.325,0,0,23320.99750864583,23307.28488056894,23282.760592963787,23427.632345374615,23237.156260405296,23347.430502048115,23126.882018762477,1931
1774949400,23323.25,23337,23304,23318.75,,,,23304.6625,23246.82,0,0,23320.548006916662,23308.32716415358,23284.171942259323,23426.548938952976,23237.623933151244,23347.761015453267,23127.48685084922,2435
1774950300,23318.5,23335,23293.75,23305.75,,,,23305.7625,23250.945,0,0,23317.58840553333,23308.092876503255,23285.018140602097,23425.346959460905,23237.97746675136,23347.968924030964,23127.986009471755,2072
1774951200,23306.5,23332.5,23303.75,23319.75,,,,23309.3375,23255.235,0,0,23318.020724426664,23309.15261500296,23286.380174303977,23424.29624344637,23238.29784687253,23348.18794247231,23128.407751272753,1726
1774952100,23320,23324,23296,23314,,,,23310.6,23259.39,0,0,23317.21657954133,23309.59328636633,23287.463304723427,23423.198768387203,23238.568183762847,23348.34434772406,23128.792019801633,1615
1774953000,23315.25,23321,23238.5,23247.25,,,,23307.5125,23261.975,0,0,23303.223263633066,23303.92571487848,23285.88631238133,23421.4480343734,23238.81893154011,23348.175165629484,23129.462697450737,3635
1774953900,23247,23293.5,23240,23286.75,,,,23306.325,23265.245,0,0,23299.928610906452,23302.364286253167,23285.920182484024,23420.10775542441,23239.049451872736,23348.077101567287,23130.021802178184,2951
1774954800,23284.5,23398,23264,23334.25,,,,23309.25,23269.81,0,0,23306.792888725162,23305.26298750288,23287.815469445435,23419.253449400287,23240.397510980976,23349.201846826512,23131.59317513544,6512
1774955700,23334,23386,23323.25,23348.5,,,,23312.2375,23274.775,0,0,23315.13431098013,23309.19362500262,23290.19525495738,23418.549434978395,23242.140361791528,23350.984080876922,23133.296642706133,7092
1774956600,23348.5,23382,23326,23381.5,,,,23317.6875,23281.48,0,0,23328.407448784106,23315.766931820563,23293.775833194344,23418.180783884083,23243.054935482993,23351.99198581888,23134.117885147105,3476
1774957500,23381.25,23381.75,23338.25,23360,,,,23321.0875,23287.56,0,0,23334.725959027284,23319.788119836874,23296.372859343584,23417.601870611605,23243.924025266897,23352.919293096744,23134.92875743705,3444
1774958400,23359.75,23428,23328.75,23333,,,,23324.4625,23293.4,0,0,23334.380767221828,23320.989199851705,23297.8092178007,23416.760060953777,23246.1903190389,23355.367378045725,23137.013260032072,8972
1774959300,23331,23415,23312,23403,,,,23330.8875,23300.54,0,0,23348.10461377746,23328.444727137914,23301.934346514397,23416.623144924386,23248.210172715397,23357.729898644993,23138.6904467858,7428
1774960200,23400.25,23439.25,23391.25,23422.25,,,,23335.0875,23308.565,0,0,23362.933691021968,23336.972479216285,23306.6526074354,23416.679133532103,23250.084397510287,23360.42828388698,23139.740511133594,5369
